t		Berechnungsdauer
0		0.263282
1		0.272934
2		0.284827
3		0.29447
4		0.305614
5		0.315772
6		0.326497
7		0.337333
8		0.347586
9		0.3573
10		0.375371
11		0.391487
12		0.40172
13		0.411054
14		0.420408
15		0.434534
16		0.445274
17		0.455879
18		0.465611
19		0.475697
20		0.486355
21		0.504424
22		0.519286
23		0.529471
24		0.539072
25		0.782417
26		0.79227
27		0.80211
28		0.811891
29		0.822977
30		0.834519
31		0.845673
32		0.856201
33		0.868488
34		0.883338
35		0.903025
36		0.914719
37		0.923895
38		0.933266
39		0.942493
40		0.952751
41		0.962618
42		0.976263
43		0.988228
44		0.998699
45		1.02053
46		1.03298
47		1.04279
48		1.05467
49		1.06556
50		1.3196
51		1.32923
52		1.33815
53		1.34697
54		1.35582
55		1.36466
56		1.37349
57		1.38233
58		1.39121
59		1.40608
60		1.41532
61		1.43595
62		1.44784
63		1.45676
64		1.46693
65		1.47585
66		1.48474
67		1.49371
68		1.50258
69		1.51146
70		1.52506
71		1.53396
72		1.55178
73		1.56191
74		1.57076
75		1.82088
76		1.8297
77		1.84189
78		1.85182
79		1.86064
80		1.86946
81		1.87829
82		1.88713
83		1.89597
84		1.90478
85		1.91363
86		1.92969
87		1.94341
88		1.95219
89		1.96103
90		1.96981
91		1.97861
92		1.98743
93		1.99631
94		2.00511
95		2.0139
96		2.02271
97		2.03804
98		2.05225
99		2.06339
100		2.31339
101		2.32255
102		2.33143
103		2.34034
104		2.34932
105		2.35824
106		2.36713
107		2.37603
108		2.38494
109		2.39386
110		2.40274
111		2.41166
112		2.43307
113		2.44482
114		2.45378
115		2.4627
116		2.47163
117		2.48055
118		2.48951
119		2.49845
120		2.50737
121		2.51628
122		2.53742
123		2.54629
124		2.5553
125		2.81692
126		2.82738
127		2.83726
128		2.84716
129		2.85752
130		2.86741
131		2.87728
132		2.88717
133		2.89706
134		2.90694
135		2.91685
136		2.93736
137		2.95124
138		2.96106
139		2.97083
140		2.98074
141		2.99048
142		3.00026
143		3.00999
144		3.01976
145		3.0348
146		3.05166
147		3.06197
148		3.0718
149		3.08323
150		3.35927
151		3.36929
152		3.37918
153		3.38901
154		3.39885
155		3.40868
156		3.41855
157		3.42839
158		3.43824
159		3.44811
160		3.45797
161		3.47758
162		3.49053
163		3.50034
164		3.51041
165		3.52018
166		3.53022
167		3.53998
168		3.54978
169		3.55957
170		3.58097
171		3.59387
172		3.60367
173		3.6135
174		3.62329
175		3.90239
176		3.91265
177		3.92248
178		3.9323
179		3.94214
180		3.95196
181		3.96191
182		3.97177
183		3.98159
184		3.99138
185		4.00876
186		4.02493
187		4.03462
188		4.04453
189		4.05441
190		4.06443
191		4.0743
192		4.0842
193		4.09409
194		4.104
195		4.11386
196		4.12967
197		4.14323
198		4.15343
199		4.16353
200		4.43922
