t		Berechnungsdauer
0		0.92888
1		0.961002
2		0.993019
3		1.02515
4		1.07117
5		1.10726
6		1.14211
7		1.17787
8		1.22204
9		1.25499
10		1.28568
11		1.32836
12		1.35894
13		1.38938
14		1.41971
15		1.46358
16		1.49405
17		1.5247
18		1.55516
19		1.59598
20		1.62708
21		1.65759
22		1.68804
23		1.73186
24		1.76237
25		2.62602
26		2.65647
27		2.68693
28		2.71727
29		2.76435
30		2.79473
31		2.8252
32		2.85559
33		2.9009
34		2.93114
35		2.96144
36		2.9917
37		3.03339
38		3.06384
39		3.09437
40		3.1248
41		3.16812
42		3.19859
43		3.22908
44		3.25954
45		3.30346
46		3.33381
47		3.36425
48		3.39457
49		3.44173
50		4.30573
51		4.33613
52		4.36643
53		4.39684
54		4.44229
55		4.47262
56		4.50291
57		4.53324
58		4.57427
59		4.60545
60		4.63587
61		4.66641
62		4.7113
63		4.74244
64		4.77343
65		4.80447
66		4.84962
67		4.88006
68		4.91053
69		4.941
70		4.98516
71		5.01589
72		5.04664
73		5.07749
74		5.12242
75		5.98524
76		6.01572
77		6.04622
78		6.07665
79		6.11747
80		6.14787
81		6.17834
82		6.20872
83		6.25266
84		6.28301
85		6.31338
86		6.34399
87		6.38986
88		6.42043
89		6.45116
90		6.4816
91		6.52391
92		6.55433
93		6.58482
94		6.61529
95		6.65897
96		6.68933
97		6.71972
98		6.7502
99		6.79117
100		7.86812
101		7.91119
102		7.95406
103		8.01275
104		8.05548
105		8.09836
106		8.15499
107		8.22188
108		8.26579
109		8.30876
110		8.3694
111		8.41222
112		8.45492
113		8.51361
114		8.55671
115		8.59961
116		8.66045
117		8.70351
118		8.74627
119		8.80395
120		8.84716
121		8.89003
122		8.94968
123		8.99319
124		9.03604
125		10.2908
126		10.3342
127		10.3776
128		10.4395
129		10.4824
130		10.5253
131		10.5843
132		10.6269
133		10.6696
134		10.729
135		10.7717
136		10.8144
137		10.8738
138		10.9167
139		10.9597
140		11.0241
141		11.0668
142		11.1096
143		11.1676
144		11.2059
145		11.2427
146		11.29
147		11.3359
148		11.3726
149		11.42
150		12.4846
151		12.5215
152		12.5581
153		12.6083
154		12.6459
155		12.6826
156		12.7329
157		12.7696
158		12.8063
159		12.8568
160		12.8949
161		12.9315
162		12.975
163		13.0198
164		13.0565
165		13.0933
166		13.1438
167		13.1811
168		13.2183
169		13.2666
170		13.3086
171		13.3453
172		13.3907
173		13.434
174		13.4706
175		14.5312
176		14.5677
177		14.6043
178		14.6497
179		14.692
180		14.7286
181		14.7719
182		14.8161
183		14.8532
184		14.9001
185		14.9414
186		14.9787
187		15.0255
188		15.0687
189		15.1061
190		15.1504
191		15.1956
192		15.2323
193		15.2838
194		15.3204
195		15.357
196		15.406
197		15.4466
198		15.4832
199		15.5273
200		16.5995
