t		Berechnungsdauer
0		0.0514388
1		0.0948172
2		0.140412
3		0.182184
4		0.22331
5		0.265413
6		0.307252
7		0.349215
8		0.390835
9		0.433131
10		0.474953
11		0.517174
12		0.558441
13		0.600523
14		0.646806
15		0.688573
16		0.729648
17		0.773376
18		0.814508
19		0.856669
20		0.900317
21		0.942848
22		0.985686
23		1.03305
24		1.07723
25		1.11834
26		1.16175
27		1.20271
28		1.24385
29		1.28791
30		1.32949
31		1.37136
32		1.41816
33		1.45968
34		1.50153
35		1.54926
36		1.59088
37		1.63579
38		1.68685
39		1.72811
40		1.76946
41		1.81711
42		1.85874
43		1.90056
44		1.94446
45		1.98555
46		2.02731
47		2.07659
48		2.11816
49		2.17266
50		2.22462
51		2.26585
52		2.30745
53		2.3549
54		2.39672
55		2.43847
56		2.48688
57		2.52914
58		2.57026
59		2.61931
60		2.66105
61		2.70261
62		2.7512
63		2.79345
64		2.8356
65		2.88401
66		2.92604
67		2.97264
68		3.02025
69		3.06181
70		3.10499
71		3.15043
72		3.19211
73		3.23379
74		3.27848
75		3.32012
76		3.36189
77		3.40561
78		3.44826
79		3.48946
80		3.53124
81		3.57274
82		3.61506
83		3.65749
84		3.69923
85		3.74147
86		3.78748
87		3.82928
88		3.87065
89		3.9182
90		3.95932
91		4.01248
92		4.05728
93		4.12332
94		4.17458
95		4.21804
96		4.25906
97		4.30309
98		4.34499
99		4.38672
100		4.43192
101		4.47348
102		4.51467
103		4.55602
104		4.59848
105		4.66573
106		4.70926
107		4.75383
108		4.79816
109		4.83948
110		4.88082
111		4.92875
112		4.97045
113		5.01191
114		5.05922
115		5.1011
116		5.14248
117		5.18702
118		5.229
119		5.27037
120		5.31766
121		5.36081
122		5.40248
123		5.44871
124		5.49029
125		5.53207
126		5.58052
127		5.62181
128		5.6634
129		5.71096
130		5.75232
131		5.79269
132		5.8404
133		5.88152
134		5.92306
135		5.9674
136		6.00883
137		6.05021
138		6.09468
139		6.136
140		6.1859
141		6.22845
142		6.26959
143		6.3112
144		6.35842
145		6.39965
146		6.44073
147		6.488
148		6.52931
149		6.57108
150		6.6157
151		6.65737
152		6.69861
153		6.74106
154		6.78291
155		6.82518
156		6.86725
157		6.90932
158		6.95138
159		6.99808
160		7.04011
161		7.08219
162		7.12704
163		7.16827
164		7.20994
165		7.25435
166		7.29656
167		7.3388
168		7.38479
169		7.427
170		7.48179
171		7.53029
172		7.57088
173		7.61556
174		7.66147
175		7.70312
176		7.74553
177		7.79007
178		7.83185
179		7.87361
180		7.91845
181		7.96116
182		8.00404
183		8.0502
184		8.09241
185		8.13464
186		8.18105
187		8.22323
188		8.26532
189		8.31157
190		8.35372
191		8.40122
192		8.44665
193		8.48897
194		8.53132
195		8.57677
196		8.61843
197		8.66085
198		8.70641
199		8.75038
200		8.7918
201		8.8402
202		8.88251
203		8.92469
204		8.97059
205		9.0131
206		9.05554
207		9.10146
208		9.14375
209		9.18422
210		9.22895
211		9.2711
212		9.31293
213		9.35991
214		9.41813
215		9.46072
216		9.50655
217		9.54834
218		9.58962
219		9.63495
220		9.67638
221		9.71882
222		9.76405
223		9.80626
224		9.84873
225		9.89418
226		9.93512
227		9.97693
228		10.0225
229		10.064
230		10.1053
231		10.1491
232		10.1906
233		10.2326
234		10.2793
235		10.321
236		10.3626
237		10.4067
238		10.4484
239		10.4902
240		10.538
241		10.5799
242		10.6218
243		10.6701
244		10.7116
245		10.7541
246		10.8039
247		10.8457
248		10.8915
249		10.937
250		10.9799
251		11.0215
252		11.0729
253		11.118
254		11.1599
255		11.2058
256		11.2484
257		11.2898
258		11.3344
259		11.3761
260		11.4179
261		11.4661
262		11.5077
263		11.5491
264		11.597
