t		Berechnungsdauer
0		0.0115829
1		0.0218357
2		0.0321139
3		0.042595
4		0.0515284
5		0.0617566
6		0.0715845
7		0.0821134
8		0.0914931
9		0.106117
10		0.123973
11		0.137399
12		0.147697
13		0.157541
14		0.168334
15		0.180323
16		0.190805
17		0.200636
18		0.209962
19		0.221423
20		0.245408
21		0.254511
22		0.266143
23		0.277135
24		0.289437
25		0.302996
26		0.314679
27		0.327426
28		0.339783
29		0.351183
30		0.362287
31		0.37443
32		0.385226
33		0.405977
34		0.419883
35		0.431193
36		0.441139
37		0.456176
38		0.468411
39		0.479735
40		0.491103
41		0.508835
42		0.528894
43		0.542086
44		0.553211
45		0.564757
46		0.575704
47		0.586738
48		0.598498
49		0.609637
50		0.621054
51		0.631646
52		0.641583
53		0.651599
54		0.661602
55		0.67162
56		0.681552
57		0.691559
58		0.7015
59		0.714879
60		0.730476
61		0.742803
62		0.752693
63		0.76269
64		0.772612
65		0.782608
66		0.79252
67		0.802502
68		0.812451
69		0.822439
70		0.84024
71		0.85478
72		0.86475
73		0.874773
74		0.884626
75		0.896993
76		0.906917
77		0.916944
78		0.927085
79		0.937123
80		0.947054
81		0.957094
82		0.967018
83		0.97706
84		0.994697
85		1.00739
86		1.02158
87		1.03157
88		1.04154
89		1.05162
90		1.0616
91		1.07164
92		1.08161
93		1.09165
94		1.11132
95		1.124
96		1.1339
97		1.14401
98		1.15399
99		1.16408
100		1.18028
101		1.19024
102		1.20012
103		1.21012
104		1.22001
105		1.23
106		1.23986
107		1.24986
108		1.26781
109		1.2817
110		1.29173
111		1.30182
112		1.31185
113		1.32198
114		1.33204
115		1.34215
116		1.35216
117		1.36228
118		1.38069
119		1.3958
120		1.40599
121		1.41624
122		1.42646
123		1.43671
124		1.44687
125		1.45827
126		1.46868
127		1.47872
128		1.48867
129		1.49875
130		1.50868
131		1.5187
132		1.52861
133		1.53862
134		1.55365
135		1.57151
136		1.58172
137		1.59199
138		1.60238
139		1.61261
140		1.62274
141		1.63299
142		1.64312
143		1.65339
144		1.66353
145		1.68593
146		1.69807
147		1.70799
148		1.71813
149		1.7284
150		1.74236
151		1.7525
152		1.76246
153		1.7725
154		1.78239
155		1.79236
156		1.80227
157		1.8123
158		1.82216
159		1.83801
160		1.85027
161		1.86333
162		1.87324
163		1.88325
164		1.89313
165		1.90321
166		1.91308
167		1.92308
168		1.933
169		1.943
170		1.96294
171		1.97605
172		1.98592
173		1.99604
174		2.00595
175		2.01894
176		2.02888
177		2.03889
178		2.04883
179		2.05883
180		2.06877
181		2.07879
182		2.08871
183		2.09873
184		2.1129
185		2.12962
186		2.14144
187		2.15154
188		2.16146
189		2.17148
190		2.1814
191		2.19145
192		2.20139
193		2.2114
194		2.22133
195		2.2406
196		2.25398
197		2.26401
198		2.27395
199		2.28398
200		2.30025
201		2.31242
202		2.32421
203		2.33618
204		2.34802
205		2.35998
206		2.37182
207		2.38375
208		2.40736
209		2.42389
210		2.43568
211		2.44762
212		2.45949
213		2.4714
214		2.48322
215		2.49514
216		2.52032
217		2.53641
218		2.54822
219		2.56016
220		2.57197
221		2.58391
222		2.59574
223		2.60767
224		2.6195
225		2.63327
226		2.64511
227		2.65705
228		2.66889
229		2.68084
230		2.69267
231		2.7046
232		2.71643
233		2.73922
234		2.75644
235		2.76841
236		2.7803
237		2.79317
238		2.80511
239		2.81708
240		2.82893
241		2.84094
242		2.86559
243		2.88009
244		2.89189
245		2.90382
246		2.91563
247		2.92755
248		2.9394
249		2.95135
250		2.96612
251		2.97829
252		2.99017
253		3.00224
254		3.01415
255		3.02617
256		3.03811
257		3.05012
258		3.07487
259		3.08694
260		3.0988
261		3.11075
262		3.12261
263		3.13496
264		3.14679
265		3.1587
266		3.17054
267		3.1954
268		3.20924
269		3.22126
270		3.2332
271		3.24521
272		3.25714
273		3.26915
274		3.28108
275		3.29566
276		3.30756
277		3.31958
278		3.33149
279		3.34349
280		3.35537
281		3.36736
282		3.3807
283		3.40733
284		3.4192
285		3.43119
286		3.44321
287		3.45559
288		3.46745
289		3.47944
290		3.49131
291		3.51531
292		3.53325
293		3.54519
294		3.55704
295		3.56899
296		3.58084
297		3.59282
298		3.60466
299		3.61662
300		3.63087
301		3.64302
302		3.65482
303		3.66677
304		3.67859
305		3.69056
306		3.70237
307		3.71431
308		3.7371
309		3.75398
310		3.7668
311		3.77877
312		3.79067
313		3.8026
314		3.81445
315		3.8264
316		3.83828
317		3.86106
318		3.87718
319		3.88917
320		3.90099
321		3.91289
322		3.92469
323		3.93662
324		3.95513
325		3.96994
326		3.98191
327		3.9939
328		4.00586
329		4.01788
330		4.02977
331		4.04176
332		4.05366
333		4.07686
334		4.09201
335		4.10404
336		4.11595
337		4.12796
338		4.13989
339		4.1519
340		4.16385
341		4.17587
342		4.20193
343		4.21735
344		4.22948
345		4.24138
346		4.25351
347		4.26576
348		4.27796
349		4.28996
350		4.30856
351		4.32554
352		4.34234
353		4.35932
354		4.37607
355		4.40332
356		4.42816
