t		Berechnungsdauer
0		0.79732
1		1.45914
2		2.07214
3		2.68128
4		3.29534
5		3.94482
6		4.5612
7		5.17716
8		5.78979
9		6.4113
10		7.02811
11		7.65332
12		8.25986
13		8.87257
14		9.48158
15		10.1036
16		10.735
17		11.3531
18		11.9654
19		12.5781
20		13.193
21		13.8037
22		14.4133
23		15.0954
24		15.6983
25		16.3227
26		16.9271
27		17.5517
28		18.1594
29		18.7739
30		19.3765
31		19.9908
32		20.6062
33		21.2238
34		21.8381
35		22.4739
36		23.0987
37		23.7008
38		24.3317
39		24.9816
40		25.5871
41		26.2139
42		26.8651
43		27.4712
44		28.0812
45		28.7019
46		29.3254
47		29.9267
48		30.5558
49		31.1822
50		31.8069
51		32.4515
52		33.0876
53		33.694
54		34.3001
55		34.9341
56		35.5446
57		36.1946
58		36.8048
59		37.4137
60		38.0336
61		38.6494
62		39.2543
63		39.8649
64		40.4891
65		41.1063
66		41.7136
67		42.3132
68		42.9211
69		43.5252
70		44.1316
71		44.7993
72		45.4133
73		46.0489
74		46.6551
75		47.2709
76		47.879
77		48.5245
78		49.1394
79		49.7443
80		50.3659
81		50.9911
82		51.5956
83		52.2115
84		52.8195
85		53.5039
86		54.1181
87		54.7228
88		55.3382
89		55.9865
90		56.6543
91		57.2542
92		57.8626
93		58.4836
94		59.0964
95		59.6998
96		60.3362
97		60.9631
98		61.5678
99		62.1843
100		62.7897
101		63.4061
102		64.0208
103		64.6299
104		65.2789
105		65.8999
106		66.5363
107		67.156
108		67.7784
109		68.3954
110		69.0125
111		69.6446
112		70.3089
113		70.9348
114		71.552
115		72.203
116		72.8104
117		73.428
118		74.0468
119		74.6825
120		75.2919
121		75.9143
122		76.5328
123		77.1639
124		77.7844
125		78.4033
126		79.0726
127		79.6985
128		80.3125
129		80.9228
130		81.5342
131		82.1829
132		82.7957
133		83.4298
134		84.0433
135		84.649
136		85.2825
137		85.8894
138		86.4947
139		87.0987
140		87.7139
141		88.3329
142		88.9435
143		89.6061
144		90.2147
145		90.8335
146		91.4474
147		92.0733
148		92.6983
149		93.3587
150		93.9886
151		94.597
152		95.2091
153		95.8185
154		96.4545
155		97.068
156		97.6997
157		98.3238
158		98.944
159		99.5462
160		100.16
161		100.769
162		101.414
163		102.023
164		102.632
165		103.259
166		103.866
167		104.527
168		105.153
169		105.797
170		106.404
171		107.026
172		107.65
173		108.269
174		108.884
175		109.507
176		110.119
177		110.76
178		111.382
179		111.992
180		112.592
181		113.22
182		113.841
183		114.474
184		115.08
185		115.706
186		116.321
187		116.936
188		117.552
189		118.16
190		118.805
191		119.456
192		120.097
193		120.748
194		121.363
195		121.975
196		122.584
197		123.208
198		123.812
199		124.439
200		125.054
