t		Berechnungsdauer
0		0.50492
1		0.5147
2		0.522054
3		0.532097
4		0.540583
5		0.555038
6		0.565899
7		0.572957
8		0.586571
9		0.594958
10		0.605763
11		0.623005
12		0.633002
13		0.638048
14		0.650553
15		0.660018
16		0.668824
17		0.683892
18		0.695728
19		0.714638
20		0.725877
21		0.738079
22		0.758628
23		0.769885
24		0.786149
25		1.1592
26		1.17023
27		1.18586
28		1.19453
29		1.20333
30		1.21207
31		1.23463
32		1.2443
33		1.25421
34		1.26277
35		1.27139
36		1.27954
37		1.28915
38		1.29853
39		1.30705
40		1.31368
41		1.31827
42		1.32265
43		1.32725
44		1.33163
45		1.33614
46		1.34051
47		1.34503
48		1.34951
49		1.35394
50		1.69723
51		1.72138
52		1.72946
53		1.73432
54		1.73943
55		1.74398
56		1.74841
57		1.75344
58		1.758
59		1.76248
60		1.76712
61		1.77163
62		1.77603
63		1.78047
64		1.78484
65		1.78935
66		1.79364
67		1.79804
68		1.80253
69		1.80692
70		1.81139
71		1.81588
72		1.82023
73		1.82474
74		1.82905
75		2.13694
76		2.14692
77		2.15653
78		2.16679
79		2.17603
80		2.18421
81		2.19296
82		2.20165
83		2.2109
84		2.21888
85		2.22587
86		2.23387
87		2.24333
88		2.25251
89		2.26192
90		2.26985
91		2.27911
92		2.28691
93		2.29159
94		2.29599
95		2.30055
96		2.30497
97		2.3094
98		2.31386
99		2.31834
100		2.61802
101		2.62645
102		2.63538
103		2.64631
104		2.6545
105		2.66668
106		2.67535
107		2.68572
108		2.696
109		2.70405
110		2.71089
111		2.71902
112		2.72684
113		2.73368
114		2.74305
115		2.74747
116		2.75181
117		2.75628
118		2.76059
119		2.76501
120		2.76935
121		2.77378
122		2.77823
123		2.78263
124		2.78701
125		3.10771
126		3.11414
127		3.12955
128		3.14437
129		3.15389
130		3.16378
131		3.17468
132		3.18223
133		3.19083
134		3.19876
135		3.20669
136		3.21455
137		3.22263
138		3.23046
139		3.23566
140		3.24007
141		3.24505
142		3.24942
143		3.25398
144		3.25839
145		3.26281
146		3.26722
147		3.27176
148		3.27621
149		3.28616
150		3.58818
151		3.59621
152		3.6048
153		3.62606
154		3.63594
155		3.64601
156		3.65422
157		3.66431
158		3.67457
159		3.68315
160		3.69143
161		3.69947
162		3.70753
163		3.71575
164		3.72019
165		3.72461
166		3.72925
167		3.73387
168		3.73818
169		3.74271
170		3.74697
171		3.75148
172		3.7558
173		3.76021
174		3.76489
175		4.08907
176		4.10307
177		4.11265
178		4.12096
179		4.12778
180		4.13292
181		4.13775
182		4.14225
183		4.14678
184		4.1517
185		4.15631
186		4.16073
187		4.16536
188		4.16971
189		4.17424
190		4.17916
191		4.18365
192		4.18801
193		4.19342
194		4.1988
195		4.2033
196		4.20773
197		4.21219
198		4.21659
199		4.22112
200		4.53645
