t		Berechnungsdauer
0		0.0802326
1		0.13372
2		0.168318
3		0.202705
4		0.243167
5		0.275192
6		0.308588
7		0.351978
8		0.394185
9		0.423682
10		0.451771
11		0.480231
12		0.508016
13		0.536048
14		0.56427
15		0.592343
16		0.619975
17		0.649197
18		0.67769
19		0.70574
20		0.733712
21		0.761735
22		0.789352
23		0.817014
24		0.845657
25		0.877922
26		0.911834
27		0.942271
28		0.970247
29		0.998167
30		1.02596
31		1.0548
32		1.08338
33		1.11117
34		1.13945
35		1.16768
36		1.19528
37		1.22248
38		1.25192
39		1.28014
40		1.30819
41		1.33609
42		1.36422
43		1.39215
44		1.41984
45		1.44835
46		1.47643
47		1.50452
48		1.53343
49		1.56137
50		1.61051
51		1.64182
52		1.67005
53		1.69749
54		1.72539
55		1.75299
56		1.78031
57		1.80798
58		1.83656
59		1.86398
60		1.89123
61		1.91883
62		1.94649
63		1.97389
64		2.00219
65		2.02991
66		2.05778
67		2.08558
68		2.11344
69		2.14099
70		2.17208
71		2.20046
72		2.2287
73		2.25664
74		2.28452
75		2.31763
76		2.35458
77		2.38216
78		2.40977
79		2.43776
80		2.46656
81		2.49443
82		2.52229
83		2.5526
84		2.58033
85		2.60825
86		2.63589
87		2.66525
88		2.693
89		2.72103
90		2.74855
91		2.77611
92		2.80376
93		2.83239
94		2.85991
95		2.8874
96		2.91567
97		2.94337
98		2.97078
99		2.99899
100		3.03502
101		3.06506
102		3.09511
103		3.12409
104		3.15596
105		3.18382
106		3.21218
107		3.2417
108		3.26997
109		3.29792
110		3.32717
111		3.3588
112		3.38673
113		3.41592
114		3.44492
115		3.47358
116		3.50216
117		3.53271
118		3.56209
119		3.59033
120		3.61955
121		3.65056
122		3.67923
123		3.70765
124		3.73739
125		3.78329
126		3.81381
127		3.84185
128		3.8693
129		3.89672
130		3.92417
131		3.95192
132		3.97911
133		4.00948
134		4.03723
135		4.06537
136		4.0934
137		4.12122
138		4.14895
139		4.17625
140		4.20529
141		4.23293
142		4.2608
143		4.28965
144		4.31777
145		4.34562
146		4.37358
147		4.40175
148		4.42938
149		4.45711
150		4.49674
151		4.52941
152		4.55846
153		4.58646
154		4.61454
155		4.64205
156		4.67051
157		4.70366
158		4.73235
159		4.76083
160		4.78925
161		4.81779
162		4.84599
163		4.87435
164		4.90263
165		4.93085
166		4.95914
167		4.98743
168		5.01563
169		5.04364
170		5.07132
171		5.09993
172		5.12733
173		5.15511
174		5.18303
175		5.23158
176		5.26385
177		5.29255
178		5.32078
179		5.34888
180		5.37676
181		5.40455
182		5.43212
183		5.46033
184		5.48828
185		5.51581
186		5.5436
187		5.57175
188		5.60075
189		5.62932
190		5.65724
191		5.68468
192		5.71275
193		5.74081
194		5.76808
195		5.79678
196		5.82498
197		5.85298
198		5.88097
199		5.90892
200		5.94305
