t		Berechnungsdauer
0		0.848285
1		0.867159
2		0.889894
3		0.922895
4		0.944791
5		0.981538
6		1.00222
7		1.03008
8		1.06227
9		1.08629
10		1.11212
11		1.1447
12		1.16473
13		1.18752
14		1.21209
15		1.2293
16		1.24808
17		1.26669
18		1.28201
19		1.29406
20		1.30588
21		1.31746
22		1.32949
23		1.34105
24		1.35246
25		1.9486
26		1.96945
27		1.99877
28		2.02234
29		2.04201
30		2.05678
31		2.06832
32		2.07969
33		2.09121
34		2.10278
35		2.12598
36		2.14553
37		2.16524
38		2.18475
39		2.20298
40		2.2209
41		2.23888
42		2.25702
43		2.27516
44		2.2917
45		2.30987
46		2.325
47		2.34444
48		2.36274
49		2.3808
50		2.99457
51		3.01884
52		3.0404
53		3.05931
54		3.07853
55		3.09678
56		3.11488
57		3.13225
58		3.1435
59		3.15494
60		3.1663
61		3.17815
62		3.1908
63		3.20224
64		3.2136
65		3.22497
66		3.23637
67		3.24936
68		3.26087
69		3.27225
70		3.28368
71		3.29508
72		3.30635
73		3.31778
74		3.32964
75		3.95219
76		3.97259
77		3.99202
78		4.00836
79		4.02071
80		4.03285
81		4.04492
82		4.05615
83		4.06819
84		4.07946
85		4.0909
86		4.10212
87		4.11349
88		4.12484
89		4.14291
90		4.1588
91		4.17014
92		4.18138
93		4.19352
94		4.20473
95		4.21619
96		4.22741
97		4.23876
98		4.25119
99		4.26255
100		4.87751
101		4.89756
102		4.91729
103		4.93142
104		4.94336
105		4.95481
106		4.96633
107		4.97774
108		4.98952
109		5.00091
110		5.01225
111		5.02368
112		5.03561
113		5.04707
114		5.05835
115		5.06974
116		5.08153
117		5.093
118		5.10456
119		5.1159
120		5.1272
121		5.1437
122		5.15516
123		5.16657
124		5.17783
125		5.77536
126		5.79556
127		5.8114
128		5.83493
129		5.85369
130		5.87251
131		5.89101
132		5.9066
133		5.92542
134		5.9383
135		5.94963
136		5.96082
137		5.97221
138		5.98344
139		5.99476
140		6.00593
141		6.01725
142		6.02852
143		6.04472
144		6.05605
145		6.06734
146		6.07969
147		6.09104
148		6.10225
149		6.11354
150		6.72468
151		6.74979
152		6.77102
153		6.78768
154		6.79971
155		6.81177
156		6.82324
157		6.83466
158		6.84589
159		6.85731
160		6.86862
161		6.88011
162		6.8915
163		6.90291
164		6.91428
165		6.9258
166		6.93712
167		6.94853
168		6.95979
169		6.97119
170		6.9827
171		6.99399
172		7.00517
173		7.01654
174		7.02782
175		7.62611
176		7.64894
177		7.67602
178		7.69943
179		7.71708
180		7.73544
181		7.75381
182		7.77272
183		7.78938
184		7.80659
185		7.82682
186		7.84659
187		7.86672
188		7.88252
189		7.89404
190		7.9055
191		7.91706
192		7.92854
193		7.9402
194		7.95173
195		7.96318
196		7.97458
197		7.98612
198		7.9975
199		8.00899
200		8.62751
