t		Berechnungsdauer
0		0.0239854
1		0.0461983
2		0.0690287
3		0.0910318
4		0.114159
5		0.135861
6		0.157434
7		0.179152
8		0.200806
9		0.223985
10		0.246567
11		0.268729
12		0.290178
13		0.31171
14		0.335961
15		0.357568
16		0.379155
17		0.401651
18		0.423095
19		0.447535
20		0.471968
21		0.494512
22		0.516219
23		0.53778
24		0.562087
25		0.584838
26		0.606253
27		0.627956
28		0.649271
29		0.673102
30		0.694832
31		0.716162
32		0.737443
33		0.758794
34		0.781262
35		0.802699
36		0.823973
37		0.845305
38		0.866557
39		0.888866
40		0.91036
41		0.931669
42		0.952923
43		0.974413
44		0.996322
45		1.0182
46		1.03965
47		1.06096
48		1.0823
49		1.10369
50		1.12906
51		1.1504
52		1.17222
53		1.19377
54		1.21844
55		1.23988
56		1.26138
57		1.28269
58		1.30426
59		1.32813
60		1.34968
61		1.37116
62		1.39276
63		1.41428
64		1.43757
65		1.45906
66		1.48052
67		1.50205
68		1.52355
69		1.54701
70		1.56867
71		1.59022
72		1.61164
73		1.63297
74		1.65633
75		1.67854
76		1.69979
77		1.72118
78		1.74252
79		1.76565
80		1.78714
81		1.80853
82		1.82989
83		1.85125
84		1.87439
85		1.8959
86		1.91719
87		1.93855
88		1.95988
89		1.98242
90		2.00472
91		2.02606
92		2.04734
93		2.0687
94		2.09174
95		2.1135
96		2.13484
97		2.15627
98		2.17752
99		2.20114
100		2.22278
101		2.24421
102		2.26548
103		2.28682
104		2.31039
105		2.33276
106		2.35406
107		2.37539
108		2.39667
109		2.41994
110		2.44251
111		2.46382
112		2.48507
113		2.50639
114		2.52908
115		2.55144
116		2.57267
117		2.59399
118		2.61525
119		2.63782
120		2.66062
121		2.68211
122		2.70342
123		2.72479
124		2.74892
125		2.77173
126		2.79305
127		2.81439
128		2.83576
129		2.85805
130		2.87958
131		2.90097
132		2.92223
133		2.94355
134		2.96497
135		2.98756
136		3.0088
137		3.03014
138		3.05144
139		3.07284
140		3.09491
141		3.11619
142		3.13745
143		3.15888
144		3.18019
145		3.20228
146		3.22389
147		3.24525
148		3.26662
149		3.28795
150		3.30978
151		3.33149
152		3.35296
153		3.3747
154		3.39838
155		3.41986
156		3.44192
157		3.46347
158		3.48497
159		3.50876
160		3.53055
161		3.55227
162		3.5738
163		3.59525
164		3.61747
165		3.63944
166		3.66109
167		3.6826
168		3.70437
169		3.7274
170		3.74913
171		3.77088
172		3.79222
173		3.81353
174		3.83619
175		3.85645
176		3.87589
177		3.89534
178		3.91498
179		3.93449
180		3.95581
181		3.97525
182		3.99462
183		4.01418
184		4.03354
185		4.05298
186		4.07428
187		4.09368
188		4.11321
189		4.13263
190		4.15201
191		4.17143
192		4.19283
193		4.21234
194		4.23171
195		4.25131
196		4.27073
197		4.29016
198		4.31093
199		4.33035
200		4.35791
201		4.38463
202		4.41123
203		4.44205
204		4.46879
205		4.49584
206		4.52354
207		4.55502
208		4.58206
209		4.60876
210		4.63588
211		4.66737
212		4.69442
213		4.72111
214		4.74818
215		4.77916
216		4.79876
217		4.81849
218		4.83816
219		4.85802
220		4.87771
221		4.90062
222		4.92014
223		4.93964
224		4.95917
225		4.98207
226		5.0015
227		5.02104
228		5.04055
229		5.0608
230		5.0831
231		5.10261
232		5.12207
233		5.14158
234		5.16102
235		5.18448
236		5.2039
237		5.22338
238		5.2428
239		5.26228
240		5.28173
241		5.30453
242		5.32394
243		5.3441
244		5.36361
245		5.38314
246		5.40263
247		5.42433
248		5.44377
249		5.46325
250		5.48395
251		5.50353
252		5.52316
253		5.54274
254		5.56223
255		5.58435
256		5.60405
257		5.62373
258		5.64328
259		5.66283
260		5.68522
261		5.70472
262		5.72417
263		5.74378
264		5.76326
265		5.78277
266		5.80513
267		5.82461
268		5.84416
269		5.86366
270		5.88309
271		5.90264
272		5.92359
273		5.94321
274		5.96268
275		5.99067
276		6.01773
277		6.04436
278		6.07139
279		6.09817
280		6.12522
281		6.15185
282		6.17891
283		6.20601
284		6.22544
285		6.24497
286		6.26445
287		6.28478
288		6.30524
289		6.32474
290		6.34423
291		6.36372
292		6.38316
293		6.40641
294		6.42588
295		6.44564
296		6.46518
297		6.4847
298		6.50418
299		6.52702
300		6.54755
301		6.56713
302		6.58659
303		6.60613
304		6.62562
305		6.64831
306		6.6678
307		6.68738
308		6.70686
309		6.72642
310		6.74591
311		6.76835
312		6.78782
313		6.80739
314		6.82688
315		6.84641
316		6.86591
317		6.88831
318		6.90779
319		6.92731
320		6.94678
321		6.96634
322		6.9858
323		7.00824
324		7.02773
325		7.04884
326		7.06834
327		7.0879
328		7.10739
329		7.12693
330		7.14965
331		7.16918
332		7.18866
333		7.2082
334		7.22763
335		7.25107
336		7.27056
337		7.29012
338		7.30962
339		7.32915
340		7.34865
341		7.37109
342		7.39077
343		7.41031
344		7.42978
345		7.44934
346		7.46881
347		7.49186
348		7.51132
349		7.53088
350		7.55116
351		7.57071
352		7.5902
353		7.60974
354		7.6292
355		7.65219
356		7.67164
357		7.69116
358		7.7106
359		7.73011
360		7.74959
361		7.77276
362		7.79224
363		7.81175
364		7.83121
365		7.85072
366		7.87017
367		7.8933
368		7.91275
369		7.93226
370		7.95174
371		7.97126
372		7.99071
373		8.01341
374		8.03288
375		8.05545
376		8.07513
377		8.09486
378		8.11451
379		8.13447
380		8.15655
381		8.17603
382		8.19549
383		8.21501
384		8.23445
385		8.25689
386		8.27642
387		8.29593
388		8.31536
389		8.33486
390		8.3543
391		8.37675
392		8.39622
393		8.41573
394		8.43518
395		8.45471
396		8.47415
397		8.50088
398		8.52781
399		8.55431
400		8.57464
401		8.59413
402		8.61356
403		8.63361
404		8.65305
405		8.67442
406		8.69387
407		8.71338
408		8.73287
409		8.75296
410		8.77612
411		8.79563
412		8.81509
413		8.83459
414		8.85404
415		8.87356
416		8.89747
417		8.92107
418		8.94476
419		8.96861
420		8.9923
421		9.01907
422		9.04278
423		9.06658
424		9.09029
425		9.11567
426		9.1394
427		9.16317
428		9.18691
429		9.21356
430		9.23731
431		9.26111
432		9.28483
433		9.30863
434		9.33585
435		9.35968
436		9.3834
437		9.40717
438		9.43094
439		9.45927
440		9.483
441		9.5068
442		9.53054
443		9.55442
444		9.58273
445		9.60653
446		9.63031
447		9.65415
448		9.67795
449		9.70607
450		9.73072
451		9.75453
452		9.77826
453		9.80208
454		9.82868
455		9.85244
456		9.87615
457		9.89994
458		9.92367
459		9.95089
460		9.97457
461		9.99838
462		10.0221
463		10.0459
464		10.0735
465		10.0974
466		10.1212
467		10.145
468		10.1688
469		10.1967
470		10.2204
471		10.2443
472		10.268
473		10.2919
474		10.3196
475		10.3557
476		10.3888
477		10.4217
478		10.4549
479		10.4877
480		10.5209
481		10.5541
