t		Berechnungsdauer
0		0.274143
1		0.291896
2		0.309393
3		0.326855
4		0.344458
5		0.362399
6		0.379891
7		0.397814
8		0.415597
9		0.433026
10		0.45146
11		0.470058
12		0.487534
13		0.504987
14		0.522703
15		0.540524
16		0.557992
17		0.575416
18		0.59291
19		0.610329
20		0.627917
21		0.64561
22		0.66358
23		0.681885
24		0.701584
25		0.960753
26		0.978343
27		0.995714
28		1.01379
29		1.03359
30		1.05124
31		1.06876
32		1.08633
33		1.10397
34		1.12159
35		1.13923
36		1.15716
37		1.17541
38		1.193
39		1.21066
40		1.2284
41		1.24619
42		1.26328
43		1.28036
44		1.29745
45		1.31453
46		1.33159
47		1.34867
48		1.36575
49		1.3828
50		1.63042
51		1.6475
52		1.6646
53		1.68168
54		1.69874
55		1.7158
56		1.73288
57		1.74994
58		1.76702
59		1.7841
60		1.80118
61		1.81823
62		1.83529
63		1.85237
64		1.86944
65		1.8865
66		1.90357
67		1.92065
68		1.93771
69		1.95478
70		1.97187
71		1.98892
72		2.00599
73		2.02306
74		2.04012
75		2.28768
76		2.3048
77		2.32187
78		2.33894
79		2.35599
80		2.37305
81		2.39012
82		2.40719
83		2.42425
84		2.44132
85		2.4584
86		2.47547
87		2.49252
88		2.50959
89		2.52666
90		2.54373
91		2.5608
92		2.57788
93		2.59493
94		2.612
95		2.62908
96		2.64615
97		2.66322
98		2.68029
99		2.69748
100		2.945
101		2.96207
102		2.97916
103		2.99623
104		3.01332
105		3.03039
106		3.04745
107		3.06453
108		3.08161
109		3.09872
110		3.1158
111		3.13287
112		3.14993
113		3.167
114		3.18409
115		3.20114
116		3.2182
117		3.23526
118		3.25231
119		3.26935
120		3.2864
121		3.30348
122		3.32054
123		3.33759
124		3.35468
125		3.60221
126		3.61932
127		3.6364
128		3.65346
129		3.67054
130		3.68761
131		3.70467
132		3.72176
133		3.73883
134		3.75591
135		3.77297
136		3.79005
137		3.80711
138		3.82417
139		3.84126
140		3.85834
141		3.87539
142		3.89246
143		3.90954
144		3.92661
145		3.94366
146		3.96075
147		3.97782
148		3.99488
149		4.01195
150		4.25943
151		4.27653
152		4.29364
153		4.31068
154		4.32777
155		4.34486
156		4.36192
157		4.379
158		4.39608
159		4.41313
160		4.43017
161		4.44722
162		4.46429
163		4.48133
164		4.49847
165		4.51554
166		4.5326
167		4.54965
168		4.56674
169		4.5838
170		4.60087
171		4.61793
172		4.63501
173		4.65207
174		4.66914
175		4.91653
176		4.93364
177		4.95074
178		4.96783
179		4.98488
180		5.02266
181		5.05166
182		5.07664
183		5.09894
184		5.11933
185		5.1382
186		5.15588
187		5.17296
188		5.19002
189		5.20706
190		5.22414
191		5.2412
192		5.25827
193		5.2753
194		5.29236
195		5.3094
196		5.32645
197		5.34351
198		5.36059
199		5.37769
200		5.64892
