t		Berechnungsdauer
0		0.0518983
1		0.055339
2		0.0581113
3		0.0608659
4		0.063714
5		0.0664423
6		0.0691874
7		0.0719244
8		0.0746544
9		0.07738
10		0.0801111
11		0.0828429
12		0.0855563
13		0.0882885
14		0.0910159
15		0.0937424
16		0.0964665
17		0.0991997
18		0.101912
19		0.104704
20		0.107597
21		0.110532
22		0.113612
23		0.117237
24		0.121177
25		0.166337
26		0.169746
27		0.172568
28		0.175372
29		0.178164
30		0.181038
31		0.183834
32		0.186625
33		0.189409
34		0.192181
35		0.194961
36		0.197752
37		0.2005
38		0.203233
39		0.205971
40		0.208723
41		0.211481
42		0.214247
43		0.216997
44		0.219753
45		0.222462
46		0.225894
47		0.229638
48		0.232735
49		0.235592
50		0.277015
51		0.280661
52		0.283482
53		0.286243
54		0.289047
55		0.291795
56		0.294566
57		0.297315
58		0.300088
59		0.302839
60		0.305567
61		0.308317
62		0.311061
63		0.313808
64		0.316552
65		0.3193
66		0.32209
67		0.324821
68		0.327558
69		0.330304
70		0.333139
71		0.33601
72		0.339063
73		0.342038
74		0.345015
75		0.387418
76		0.39086
77		0.393647
78		0.396583
79		0.399365
80		0.402153
81		0.404944
82		0.407718
83		0.410495
84		0.413285
85		0.416069
86		0.418839
87		0.421626
88		0.424411
89		0.427178
90		0.429971
91		0.432754
92		0.435543
93		0.438311
94		0.441091
95		0.44388
96		0.446648
97		0.450227
98		0.453742
99		0.45746
100		0.499614
101		0.503316
102		0.506149
103		0.509259
104		0.512065
105		0.51486
106		0.517581
107		0.520319
108		0.52305
109		0.52579
110		0.528532
111		0.531271
112		0.534002
113		0.536727
114		0.539453
115		0.5422
116		0.544914
117		0.547645
118		0.550474
119		0.553203
120		0.555928
121		0.558656
122		0.561381
123		0.564156
124		0.566985
125		0.608232
126		0.611923
127		0.614752
128		0.617557
129		0.6204
130		0.623192
131		0.625992
132		0.628778
133		0.631543
134		0.634332
135		0.637112
136		0.639865
137		0.642644
138		0.64542
139		0.648199
140		0.651029
141		0.653815
142		0.656589
143		0.659359
144		0.662132
145		0.664911
146		0.66769
147		0.670455
148		0.673229
149		0.676878
150		0.721329
151		0.724897
152		0.727717
153		0.730473
154		0.733306
155		0.736097
156		0.738863
157		0.7416
158		0.744366
159		0.747125
160		0.74986
161		0.75261
162		0.755358
163		0.758111
164		0.760854
165		0.763607
166		0.766358
167		0.769094
168		0.771837
169		0.775164
170		0.778494
171		0.781538
172		0.784946
173		0.788614
174		0.791901
175		0.834918
176		0.841308
177		0.845895
178		0.849141
179		0.852462
180		0.855685
181		0.858818
182		0.861936
183		0.865056
184		0.868168
185		0.871131
186		0.874128
187		0.877129
188		0.880089
189		0.882934
190		0.885796
191		0.888678
192		0.891787
193		0.895467
194		0.899155
195		0.902569
196		0.905447
197		0.908243
198		0.911042
199		0.913777
200		0.955681
