t		Berechnungsdauer
0		1.63531
1		1.74211
2		1.85558
3		1.96952
4		2.08417
5		2.19043
6		2.30346
7		2.41336
8		2.52046
9		2.62995
10		2.74054
11		2.84669
12		2.95508
13		3.06509
14		3.17258
15		3.28019
16		3.39122
17		3.49818
18		3.60723
19		3.71882
20		3.82589
21		3.93485
22		4.04559
23		4.15292
24		4.26211
25		5.78186
26		5.86844
27		5.96238
28		6.04883
29		6.14117
30		6.22771
31		6.31887
32		6.40542
33		6.49716
34		6.59019
35		6.68048
36		6.7734
37		6.86419
38		6.95074
39		7.04547
40		7.13214
41		7.22709
42		7.31355
43		7.40755
44		7.49413
45		7.58904
46		7.67553
47		7.76899
48		7.85549
49		7.94882
50		9.43867
51		9.5253
52		9.61432
53		9.70085
54		9.79213
55		9.87868
56		9.96994
57		10.0564
58		10.1505
59		10.2369
60		10.3271
61		10.4136
62		10.5027
63		10.5892
64		10.683
65		10.7696
66		10.8633
67		10.9497
68		11.0434
69		11.1299
70		11.2229
71		11.3094
72		11.4043
73		11.4908
74		11.5814
75		12.9718
76		13.0455
77		13.123
78		13.1966
79		13.2733
80		13.3468
81		13.4269
82		13.5005
83		13.5802
84		13.6537
85		13.7333
86		13.8069
87		13.8864
88		13.96
89		14.0395
90		14.1131
91		14.1929
92		14.2664
93		14.3467
94		14.4203
95		14.4998
96		14.5734
97		14.653
98		14.7267
99		14.804
100		16.0663
101		16.1398
102		16.2195
103		16.2929
104		16.3726
105		16.4455
106		16.5119
107		16.5724
108		16.6363
109		16.6967
110		16.7613
111		16.8217
112		16.8861
113		16.9473
114		17.0097
115		17.0701
116		17.1344
117		17.1948
118		17.2576
119		17.3179
120		17.3805
121		17.4411
122		17.5036
123		17.564
124		17.6272
125		18.6322
126		18.6927
127		18.7567
128		18.8174
129		18.8823
130		18.9428
131		19.0078
132		19.0684
133		19.1327
134		19.1934
135		19.2569
136		19.3175
137		19.3817
138		19.4425
139		19.5061
140		19.5666
141		19.6297
142		19.6902
143		19.7536
144		19.8141
145		19.877
146		19.9375
147		20.001
148		20.0617
149		20.1273
150		21.1583
151		21.2188
152		21.2843
153		21.3447
154		21.4101
155		21.4705
156		21.5359
157		21.5963
158		21.6619
159		21.7222
160		21.7877
161		21.848
162		21.9134
163		21.974
164		22.0394
165		22.0998
166		22.1653
167		22.2257
168		22.2913
169		22.3516
170		22.417
171		22.4774
172		22.5435
173		22.6039
174		22.6702
175		23.6827
176		23.7431
177		23.8086
178		23.8691
179		23.9345
180		23.9949
181		24.0603
182		24.1208
183		24.1872
184		24.2478
185		24.3124
186		24.3729
187		24.4383
188		24.525
189		24.6169
190		24.7036
191		24.7954
192		24.882
193		24.974
194		25.0606
195		25.1525
196		25.2454
197		25.3368
198		25.4235
199		25.5208
200		27.0158
