t		Berechnungsdauer
0		0.0527665
1		0.0944143
2		0.144399
3		0.185632
4		0.226912
5		0.273715
6		0.314844
7		0.356665
8		0.402689
9		0.444433
10		0.485511
11		0.529361
12		0.570718
13		0.624593
14		0.667379
15		0.708838
16		0.750346
17		0.797153
18		0.838562
19		0.880256
20		0.924928
21		0.966758
22		1.01511
23		1.064
24		1.11085
25		1.15307
26		1.19865
27		1.24168
28		1.28399
29		1.32886
30		1.37044
31		1.41244
32		1.45692
33		1.49833
34		1.54024
35		1.58506
36		1.62696
37		1.66893
38		1.71338
39		1.75539
40		1.79752
41		1.84155
42		1.88316
43		1.92501
44		1.96906
45		2.01127
46		2.05333
47		2.09788
48		2.13943
49		2.1822
50		2.22789
51		2.26994
52		2.31208
53		2.35698
54		2.39906
55		2.44102
56		2.48598
57		2.52798
58		2.56991
59		2.61796
60		2.66019
61		2.70256
62		2.759
63		2.80077
64		2.8423
65		2.89099
66		2.93252
67		2.97389
68		3.02059
69		3.06201
70		3.10369
71		3.14934
72		3.19044
73		3.23292
74		3.28055
75		3.32205
76		3.36367
77		3.41099
78		3.45298
79		3.49503
80		3.53823
81		3.60106
82		3.65189
83		3.69382
84		3.74213
85		3.78791
86		3.83001
87		3.87166
88		3.91732
89		3.95869
90		4.00015
91		4.051
92		4.09246
93		4.13396
94		4.17742
95		4.2189
96		4.26012
97		4.30485
98		4.34651
99		4.38821
100		4.43539
101		4.47689
102		4.54651
103		4.59168
104		4.63288
105		4.67994
106		4.75
107		4.80091
108		4.84254
109		4.88419
110		4.92846
111		4.97009
112		5.01166
113		5.05585
114		5.09752
115		5.13928
116		5.18506
117		5.22709
118		5.26853
119		5.31568
120		5.35717
121		5.39855
122		5.44368
123		5.48476
124		5.52575
125		5.57062
126		5.6125
127		5.6545
128		5.69866
129		5.74097
130		5.78287
131		5.8274
132		5.86952
133		5.9416
134		5.98428
135		6.02554
136		6.06906
137		6.11144
138		6.1541
139		6.20858
140		6.25017
141		6.2924
142		6.33843
143		6.3805
144		6.42213
145		6.46984
146		6.51152
147		6.55323
148		6.60129
149		6.64332
150		6.68526
151		6.73249
152		6.77487
153		6.8166
154		6.8641
155		6.90762
156		6.94929
157		6.99197
158		7.03651
159		7.07847
160		7.12248
161		7.16432
162		7.20632
163		7.25323
164		7.29497
165		7.33689
166		7.38443
167		7.42582
168		7.46725
169		7.51433
170		7.55598
171		7.59723
172		7.64268
173		7.68477
174		7.72665
175		7.77044
176		7.81236
177		7.85424
178		7.89988
179		7.94117
180		7.98228
181		8.02683
182		8.06825
183		8.10988
184		8.15405
185		8.19559
186		8.23699
187		8.28158
188		8.32291
189		8.39264
190		8.43963
191		8.48084
192		8.52638
193		8.56822
194		8.61032
195		8.65379
196		8.69541
197		8.7374
198		8.78431
199		8.82575
200		8.867
201		8.91236
202		8.95411
203		8.99553
204		9.03856
205		9.07995
206		9.12174
207		9.16468
208		9.20711
209		9.24901
210		9.2936
211		9.33554
212		9.37704
213		9.42091
214		9.46226
215		9.51214
216		9.56132
217		9.6197
218		9.66581
219		9.71016
220		9.75222
221		9.79713
222		9.83908
223		9.8812
224		9.92561
225		9.96741
226		10.0091
227		10.055
228		10.0972
229		10.1386
230		10.1859
231		10.2277
232		10.2697
233		10.3171
234		10.3591
235		10.401
236		10.4485
237		10.4904
238		10.5324
239		10.5796
240		10.6211
241		10.6629
242		10.7103
243		10.7516
244		10.7934
245		10.8416
246		10.8829
247		10.9248
248		10.9731
249		11.0143
250		11.056
251		11.1001
252		11.1413
253		11.183
254		11.2277
255		11.2697
256		11.3115
257		11.3627
258		11.4041
259		11.4458
260		11.4941
261		11.5367
262		11.5784
263		11.6244
264		11.6656
265		11.7067
266		11.75
267		11.7916
268		11.8663
269		11.912
270		11.9532
271		11.9971
272		12.0384
273		12.0797
274		12.123
275		12.1642
276		12.2057
