t		Berechnungsdauer
0		0.00642085
1		0.0118803
2		0.0170682
3		0.0207972
4		0.0245046
5		0.0281176
6		0.0314829
7		0.03501
8		0.0383717
9		0.0416833
10		0.0452286
11		0.048699
12		0.0522314
13		0.0556391
14		0.0587059
15		0.0616236
16		0.0644101
17		0.067146
18		0.0698425
19		0.0726427
20		0.0753709
21		0.0780917
22		0.0807904
23		0.0835031
24		0.0862791
25		0.089493
26		0.0930144
27		0.095897
28		0.0988285
29		0.101618
30		0.104329
31		0.107049
32		0.10978
33		0.112529
34		0.115307
35		0.118201
36		0.12193
37		0.125983
38		0.129657
39		0.133133
40		0.135908
41		0.138977
42		0.142894
43		0.14632
44		0.149669
45		0.152463
46		0.155307
47		0.158086
48		0.160882
49		0.163606
50		0.167167
51		0.170682
52		0.173473
53		0.176241
54		0.179018
55		0.181826
56		0.184556
57		0.187367
58		0.190334
59		0.193345
60		0.196159
61		0.198915
62		0.201641
63		0.204373
64		0.207101
65		0.209828
66		0.212539
67		0.215255
68		0.218018
69		0.22075
70		0.223466
71		0.22619
72		0.228948
73		0.231674
74		0.234395
75		0.237823
76		0.241306
77		0.244118
78		0.246933
79		0.2498
80		0.253267
81		0.257122
82		0.261925
83		0.264775
84		0.26755
85		0.27028
86		0.273076
87		0.275879
88		0.278677
89		0.281437
90		0.284185
91		0.286905
92		0.28961
93		0.29231
94		0.295019
95		0.297716
96		0.300414
97		0.303116
98		0.305828
99		0.30854
100		0.311796
101		0.315227
102		0.317967
103		0.320971
104		0.323762
105		0.327591
106		0.331317
107		0.3341
108		0.33682
109		0.339556
110		0.342268
111		0.345134
112		0.348015
113		0.350812
114		0.353553
115		0.356322
116		0.359033
117		0.361748
118		0.364472
119		0.367203
120		0.369962
121		0.372669
122		0.375423
123		0.378149
124		0.380927
125		0.38431
126		0.387704
127		0.391085
128		0.394653
129		0.398055
130		0.400857
131		0.403603
132		0.406409
133		0.409223
134		0.411946
135		0.41467
136		0.417364
137		0.420081
138		0.422807
139		0.425515
140		0.42822
141		0.431043
142		0.433759
143		0.436476
144		0.439224
145		0.441948
146		0.44464
147		0.447354
148		0.45006
149		0.452759
150		0.45602
151		0.459877
152		0.463367
153		0.467077
154		0.469976
155		0.472787
156		0.475509
157		0.478281
158		0.48103
159		0.483768
160		0.486501
161		0.489218
162		0.491916
163		0.494646
164		0.497344
165		0.500057
166		0.502785
167		0.505508
168		0.508237
169		0.511051
170		0.513769
171		0.516489
172		0.51919
173		0.521922
174		0.524627
175		0.527858
176		0.532436
177		0.53632
178		0.539157
179		0.541915
180		0.544644
181		0.547389
182		0.550093
183		0.552833
184		0.555554
185		0.55826
186		0.560971
187		0.563749
188		0.566495
189		0.569279
190		0.571989
191		0.57471
192		0.577407
193		0.580126
194		0.58288
195		0.585607
196		0.588332
197		0.591159
198		0.593915
199		0.596689
200		0.59988
201		0.603848
202		0.607136
203		0.610291
204		0.613068
205		0.615818
206		0.618559
207		0.621365
208		0.6242
209		0.62705
210		0.629788
211		0.632554
212		0.636102
213		0.63936
214		0.642166
215		0.644908
216		0.647738
217		0.651243
218		0.654609
219		0.657438
220		0.660163
221		0.663087
222		0.665974
223		0.669266
224		0.673052
225		0.676458
226		0.680092
227		0.683113
228		0.685963
229		0.688847
230		0.692065
231		0.695619
232		0.698583
233		0.701424
234		0.704294
235		0.707485
236		0.711101
237		0.714039
238		0.716813
239		0.719609
240		0.722439
241		0.72625
242		0.729117
243		0.731896
244		0.7346
245		0.737425
246		0.74088
247		0.744033
248		0.746756
249		0.749523
250		0.752808
251		0.756297
252		0.759084
253		0.761822
254		0.764565
255		0.767285
256		0.770184
257		0.773106
258		0.775937
259		0.778716
260		0.781491
261		0.784399
262		0.787242
263		0.789979
264		0.792696
265		0.795427
266		0.798149
267		0.800913
