t		Berechnungsdauer
0		0.062662
1		0.122898
2		0.178275
3		0.233849
4		0.292251
5		0.348822
6		0.407632
7		0.462309
8		0.520485
9		0.574813
10		0.632305
11		0.687642
12		0.742924
13		0.799493
14		0.853985
15		0.911011
16		0.973903
17		1.02997
18		1.08549
19		1.1418
20		1.19618
21		1.25501
22		1.3094
23		1.36706
24		1.42146
25		1.47942
26		1.53382
27		1.5904
28		1.64498
29		1.7016
30		1.756
31		1.81239
32		1.86677
33		1.92317
34		1.97883
35		2.03517
36		2.09097
37		2.14764
38		2.20269
39		2.25925
40		2.31482
41		2.37015
42		2.42616
43		2.48064
44		2.53849
45		2.59281
46		2.65055
47		2.70492
48		2.76298
49		2.81733
50		2.87504
51		2.93157
52		2.98612
53		3.04096
54		3.09668
55		3.15096
56		3.2072
57		3.26146
58		3.31783
59		3.37383
60		3.42843
61		3.48948
62		3.54418
63		3.60256
64		3.6818
65		3.75525
66		3.83132
67		3.9049
68		3.9836
69		4.05704
70		4.1351
71		4.20866
72		4.28761
73		4.36103
74		4.43922
75		4.51484
76		4.59146
77		4.66491
78		4.7415
79		4.81506
80		4.89285
81		4.96642
82		5.04437
83		5.11793
84		5.19445
85		5.26798
86		5.3446
87		5.4182
88		5.49477
89		5.56831
90		5.64752
91		5.72109
92		5.79963
93		5.87318
94		5.94902
95		6.02254
96		6.09829
97		6.17184
98		6.24764
99		6.32106
100		6.38785
101		6.45211
102		6.51265
103		6.5767
104		6.63721
105		6.7014
106		6.76187
107		6.82733
108		6.88791
109		6.95199
110		7.01247
111		7.07645
112		7.13693
113		7.20009
114		7.26055
115		7.3246
116		7.38507
117		7.44794
118		7.50846
119		7.57099
120		7.63148
121		7.6965
122		7.75742
123		7.82068
124		7.88124
125		7.94599
126		8.00826
127		8.06872
128		8.13111
129		8.1916
130		8.25651
131		8.31686
132		8.38122
133		8.44165
134		8.506
135		8.56646
136		8.63072
137		8.69124
138		8.756
139		8.81569
140		8.87357
141		8.92783
142		8.98535
143		9.04054
144		9.0962
145		9.15306
146		9.20755
147		9.26534
148		9.31984
149		9.37822
150		9.43569
151		9.49295
152		9.54749
153		9.60368
154		9.65966
155		9.71435
156		9.77039
157		9.85364
158		9.90802
159		9.96264
160		10.0196
161		10.0739
162		10.1324
163		10.1867
164		10.2451
165		10.2994
166		10.356
167		10.4116
168		10.467
169		10.5239
170		10.5784
171		10.6368
172		10.6912
173		10.7506
174		10.8049
175		10.8618
176		10.9178
177		10.9726
178		11.0279
179		11.0835
180		11.1382
181		11.1944
182		11.2488
183		11.3049
184		11.3592
185		11.4154
186		11.4702
187		11.5258
188		11.5827
189		11.6377
190		11.6951
191		11.7495
192		11.8056
193		11.8598
194		11.916
195		11.9703
196		12.0256
197		12.0809
198		12.1355
199		12.193
200		12.2506
201		12.3075
202		12.3621
203		12.4173
204		12.4725
205		12.5282
206		12.5866
207		12.6409
208		12.6996
209		12.7539
210		12.8125
211		12.8667
212		12.9245
213		12.9788
214		13.0367
215		13.0909
216		13.147
217		13.2029
218		13.2575
219		13.3148
220		13.3692
221		13.4274
222		13.4818
223		13.538
224		13.5944
225		13.6516
226		13.7075
227		13.7681
228		13.8472
229		13.9207
230		14.001
231		14.0745
232		14.1511
233		14.2245
234		14.3004
235		14.3738
236		14.4496
237		14.523
238		14.5989
239		14.6723
240		14.7483
241		14.8218
242		14.8998
243		14.9733
244		15.0514
245		15.1248
246		15.2029
247		15.2764
248		15.3544
249		15.4279
250		15.5018
251		15.5773
252		15.651
253		15.7267
254		15.8003
255		15.8791
256		15.9527
257		16.0315
258		16.1051
259		16.1821
260		16.2557
261		16.3344
262		16.408
263		16.4867
264		16.5604
265		16.6387
266		16.7113
267		16.7758
268		16.8364
269		16.9006
270		16.9611
271		17.0258
272		17.0863
273		17.1506
274		17.2111
275		17.2744
276		17.3391
277		17.3996
278		17.4623
279		17.5227
280		17.5866
281		17.647
282		17.7115
283		17.772
284		17.8362
285		17.8965
286		17.9607
287		18.0211
288		18.0853
289		18.1458
290		18.2104
291		18.2709
292		18.3345
293		18.3948
294		18.4567
295		18.517
296		18.5793
297		18.6398
298		18.702
299		18.7625
300		18.8256
301		18.8893
302		18.9498
303		19.011
304		19.0657
305		19.1237
306		19.1793
307		19.2373
308		19.2931
309		19.3499
310		19.405
311		19.4612
312		19.517
313		19.5732
314		19.6293
315		19.6838
316		19.7416
317		19.7959
318		19.8543
319		19.9087
320		19.9652
321		20.0201
